segmento_id,fecha,hora,tipo_dia,es_fin,precipitacion,entrada_estudiantes,salida_estudiantes,entrada_trabajadores,salida_trabajadores,hora_pico,longitud_km,paradas_cercanas,nivel_congestion,velocidad_kmh,carga_vehicular,construccion_vial
1,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,169,0
2,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,539,0
3,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,91,0
4,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,448,0
5,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,230,0
6,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,364,0
7,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,136,0
8,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,479,0
9,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,15.138,4,1,42,150,0
10,2025-10-28,00:00,Tuesday,0,0.0,0,0,0,0,0,41.974,1,1,42,158,0
1,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,12.755,6,1,42,572,0
2,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,13.073,4,1,42,345,0
3,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,12.969,3,1,42,521,0
4,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,13.055,5,1,42,504,0
5,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,12.614,3,1,42,70,0
6,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,13.621,6,1,42,230,0
7,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,13.167,2,1,42,87,0
8,2025-10-28,01:00,Tuesday,0,0.0,0,0,0,0,0,13.335,2,1,42,185,0
