segmento_id,dia,hora,nivel_congestion,velocidad_kmh,carga_vehicular,construccion_vial,tipo_dia,hora_entrada_est,hora_salida_est,hora_entrada_trab,hora_salida_trab,tipo_vehiculo,ruta_id,orden,paradas_cercanas
1,2025-01-01,00:00,1,55,245,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,1,1.0
1,2025-01-01,00:00,1,55,245,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,3,1.0
2,2025-01-01,00:00,1,64,179,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,2,0.0
3,2025-01-01,00:00,1,63,322,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,3,1.0
3,2025-01-01,00:00,1,63,322,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,2,1.0
4,2025-01-01,00:00,1,57,293,0,Miércoles,07:00,12:00,08:00,17:00,carro,R2,1,0.0
5,2025-01-01,00:00,1,58,309,0,Miércoles,07:00,12:00,08:00,17:00,moto,R2,2,0.0
6,2025-01-01,00:00,1,58,243,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,3,0.0
7,2025-01-01,00:00,1,56,274,0,Miércoles,07:00,12:00,08:00,17:00,carro,R3,1,0.0
8,2025-01-01,00:00,1,61,255,0,Miércoles,07:00,12:00,08:00,17:00,moto,R3,2,0.0
9,2025-01-01,00:00,1,56,276,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,3,1.0
10,2025-01-01,00:00,1,60,364,0,Miércoles,07:00,12:00,08:00,17:00,bus,R4,1,0.0
1,2025-01-01,01:00,1,61,413,0,Miércoles,07:00,12:00,08:00,17:00,moto,R1,1,1.0
1,2025-01-01,01:00,1,61,413,0,Miércoles,07:00,12:00,08:00,17:00,moto,R4,3,1.0
2,2025-01-01,01:00,1,58,300,0,Miércoles,07:00,12:00,08:00,17:00,moto,R1,2,0.0
3,2025-01-01,01:00,1,57,414,0,Miércoles,07:00,12:00,08:00,17:00,moto,R1,3,1.0
3,2025-01-01,01:00,1,57,414,0,Miércoles,07:00,12:00,08:00,17:00,moto,R4,2,1.0
4,2025-01-01,01:00,2,53,580,0,Miércoles,07:00,12:00,08:00,17:00,moto,R2,1,0.0
5,2025-01-01,01:00,1,58,266,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,2,0.0
6,2025-01-01,01:00,1,61,245,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,3,0.0
7,2025-01-01,01:00,1,62,248,0,Miércoles,07:00,12:00,08:00,17:00,moto,R3,1,0.0
8,2025-01-01,01:00,1,61,311,0,Miércoles,07:00,12:00,08:00,17:00,carro,R3,2,0.0
9,2025-01-01,01:00,1,59,295,0,Miércoles,07:00,12:00,08:00,17:00,carro,R3,3,1.0
10,2025-01-01,01:00,1,60,279,0,Miércoles,07:00,12:00,08:00,17:00,bus,R4,1,0.0
1,2025-01-01,02:00,1,55,253,0,Miércoles,07:00,12:00,08:00,17:00,moto,R1,1,1.0
1,2025-01-01,02:00,1,55,253,0,Miércoles,07:00,12:00,08:00,17:00,moto,R4,3,1.0
2,2025-01-01,02:00,1,63,321,0,Miércoles,07:00,12:00,08:00,17:00,bus,R1,2,0.0
3,2025-01-01,02:00,1,57,359,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,3,1.0
3,2025-01-01,02:00,1,57,359,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,2,1.0
4,2025-01-01,02:00,1,55,320,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,1,0.0
5,2025-01-01,02:00,1,56,287,0,Miércoles,07:00,12:00,08:00,17:00,moto,R2,2,0.0
6,2025-01-01,02:00,1,59,332,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,3,0.0
7,2025-01-01,02:00,1,61,239,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,1,0.0
8,2025-01-01,02:00,1,55,319,0,Miércoles,07:00,12:00,08:00,17:00,carro,R3,2,0.0
9,2025-01-01,02:00,1,58,260,0,Miércoles,07:00,12:00,08:00,17:00,moto,R3,3,1.0
10,2025-01-01,02:00,1,60,335,0,Miércoles,07:00,12:00,08:00,17:00,bus,R4,1,0.0
1,2025-01-01,03:00,1,62,270,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,1,1.0
1,2025-01-01,03:00,1,62,270,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,3,1.0
2,2025-01-01,03:00,1,61,260,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,2,0.0
3,2025-01-01,03:00,1,59,271,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,3,1.0
3,2025-01-01,03:00,1,59,271,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,2,1.0
4,2025-01-01,03:00,1,64,274,0,Miércoles,07:00,12:00,08:00,17:00,carro,R2,1,0.0
5,2025-01-01,03:00,1,58,287,0,Miércoles,07:00,12:00,08:00,17:00,moto,R2,2,0.0
6,2025-01-01,03:00,1,60,174,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,3,0.0
7,2025-01-01,03:00,1,60,259,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,1,0.0
8,2025-01-01,03:00,1,58,168,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,2,0.0
9,2025-01-01,03:00,1,63,247,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,3,1.0
10,2025-01-01,03:00,1,60,262,0,Miércoles,07:00,12:00,08:00,17:00,moto,R4,1,0.0
1,2025-01-01,04:00,2,45,491,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,1,1.0
1,2025-01-01,04:00,2,45,491,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,3,1.0
2,2025-01-01,04:00,1,56,292,0,Miércoles,07:00,12:00,08:00,17:00,moto,R1,2,0.0
3,2025-01-01,04:00,1,56,340,0,Miércoles,07:00,12:00,08:00,17:00,moto,R1,3,1.0
3,2025-01-01,04:00,1,56,340,0,Miércoles,07:00,12:00,08:00,17:00,moto,R4,2,1.0
4,2025-01-01,04:00,2,45,496,1,Miércoles,07:00,12:00,08:00,17:00,bus,R2,1,0.0
5,2025-01-01,04:00,1,55,272,0,Miércoles,07:00,12:00,08:00,17:00,carro,R2,2,0.0
6,2025-01-01,04:00,1,64,363,0,Miércoles,07:00,12:00,08:00,17:00,moto,R2,3,0.0
7,2025-01-01,04:00,1,58,252,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,1,0.0
8,2025-01-01,04:00,1,55,294,0,Miércoles,07:00,12:00,08:00,17:00,carro,R3,2,0.0
9,2025-01-01,04:00,2,47,553,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,3,1.0
10,2025-01-01,04:00,1,55,189,0,Miércoles,07:00,12:00,08:00,17:00,bus,R4,1,0.0
1,2025-01-01,05:00,1,55,345,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,1,1.0
1,2025-01-01,05:00,1,55,345,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,3,1.0
2,2025-01-01,05:00,1,59,274,0,Miércoles,07:00,12:00,08:00,17:00,bus,R1,2,0.0
3,2025-01-01,05:00,2,52,538,0,Miércoles,07:00,12:00,08:00,17:00,moto,R1,3,1.0
3,2025-01-01,05:00,2,52,538,0,Miércoles,07:00,12:00,08:00,17:00,moto,R4,2,1.0
4,2025-01-01,05:00,1,60,237,0,Miércoles,07:00,12:00,08:00,17:00,carro,R2,1,0.0
5,2025-01-01,05:00,1,62,250,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,2,0.0
6,2025-01-01,05:00,1,57,214,0,Miércoles,07:00,12:00,08:00,17:00,carro,R2,3,0.0
7,2025-01-01,05:00,1,61,269,0,Miércoles,07:00,12:00,08:00,17:00,moto,R3,1,0.0
8,2025-01-01,05:00,1,59,245,0,Miércoles,07:00,12:00,08:00,17:00,carro,R3,2,0.0
9,2025-01-01,05:00,1,55,325,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,3,1.0
10,2025-01-01,05:00,1,58,307,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,1,0.0
1,2025-01-01,06:00,3,38,884,0,Miércoles,07:00,12:00,08:00,17:00,carro,R1,1,1.0
1,2025-01-01,06:00,3,38,884,0,Miércoles,07:00,12:00,08:00,17:00,carro,R4,3,1.0
2,2025-01-01,06:00,3,39,806,0,Miércoles,07:00,12:00,08:00,17:00,bus,R1,2,0.0
3,2025-01-01,06:00,3,35,871,0,Miércoles,07:00,12:00,08:00,17:00,bus,R1,3,1.0
3,2025-01-01,06:00,3,35,871,0,Miércoles,07:00,12:00,08:00,17:00,bus,R4,2,1.0
4,2025-01-01,06:00,3,43,848,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,1,0.0
5,2025-01-01,06:00,2,46,584,0,Miércoles,07:00,12:00,08:00,17:00,carro,R2,2,0.0
6,2025-01-01,06:00,3,39,821,0,Miércoles,07:00,12:00,08:00,17:00,bus,R2,3,0.0
7,2025-01-01,06:00,5,18,1416,0,Miércoles,07:00,12:00,08:00,17:00,moto,R3,1,0.0
8,2025-01-01,06:00,2,51,601,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,2,0.0
9,2025-01-01,06:00,4,32,1171,0,Miércoles,07:00,12:00,08:00,17:00,bus,R3,3,1.0
10,2025-01-01,06:00,3,35,837,0,Miércoles,07:00,12:00,08:00,17:00,bus,R4,1,0.0
1,2025-01-01,07:00,3,35,882,0,Miércoles,07:00,12:00,08:00,17:00,bus,R1,1,1.0
1,2025-01-01,07:00,3,35,882,0,Miércoles,07:00,12:00,08:00,17:00,bus,R4,3,1.0
2,2025-01-01,07:00,3,40,818,0,Miércoles,07:00,12:00,08:00,17:00,moto,R1,2,0.0
